% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Atenciones podológicas en los Centros Comunitarios Zona Norte y Zona Sur,20%,20%,90%,,1.11,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Podología gratuita,"Implementar un servicio gratuiro de podología a personas mayores de la comuna, mejorando su calidad de vida.",100%,"Durante el 2023, se realizaron 4.157 atenciones podológicas gratuitas a personas mayores de la comuna.",Evaluación trimestral de las atenciones realizadas,10%,10%,100%,,1.12,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Buses gratuitos para traslados de actividades de adultos mayores,"Implementar un servicio gratuiro de traslado en buses para actividades de personas mayores de la comuna, promoviendo su integración y participación comunitaria y mejorando su calidad de vida.",100%,"Durante 2023, 602 organizaciones se vieron beneficiadas con la facilitación de buses para viajes interregionales, trasladando a más de 15.050 vecinos/as de la comuna.",Modificación de ordenanza municipal respecto al uso de buses municipales para la entrega del servicio gratuito.,20%,20%,20%,1,1.13,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Buses gratuitos para traslados de actividades de adultos mayores,"Implementar un servicio gratuiro de traslado en buses para actividades de personas mayores de la comuna, promoviendo su integración y participación comunitaria y mejorando su calidad de vida.",100%,"Durante 2023, 602 organizaciones se vieron beneficiadas con la facilitación de buses para viajes interregionales, trasladando a más de 15.050 vecinos/as de la comuna.",Puesta en marcha de de ordenanza municipal con uso de buses gratuitos.,20%,20%,40%,,1.14,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Buses gratuitos para traslados de actividades de adultos mayores,"Implementar un servicio gratuiro de traslado en buses para actividades de personas mayores de la comuna, promoviendo su integración y participación comunitaria y mejorando su calidad de vida.",100%,"Durante 2023, 602 organizaciones se vieron beneficiadas con la facilitación de buses para viajes interregionales, trasladando a más de 15.050 vecinos/as de la comuna.",Recepción de solicitudes de organizaciones de personas mayores.,20%,20%,60%,,1.15,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Buses gratuitos para traslados de actividades de adultos mayores,"Implementar un servicio gratuiro de traslado en buses para actividades de personas mayores de la comuna, promoviendo su integración y participación comunitaria y mejorando su calidad de vida.",100%,"Durante 2023, 602 organizaciones se vieron beneficiadas con la facilitación de buses para viajes interregionales, trasladando a más de 15.050 vecinos/as de la comuna.",Calendarización y traslados gratuitos a organizaciones de personas mayores.,30%,30%,90%,,1.16,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Buses gratuitos para traslados de actividades de adultos mayores,"Implementar un servicio gratuiro de traslado en buses para actividades de personas mayores de la comuna, promoviendo su integración y participación comunitaria y mejorando su calidad de vida.",100%,"Durante 2023, 602 organizaciones se vieron beneficiadas con la facilitación de buses para viajes interregionales, trasladando a más de 15.050 vecinos/as de la comuna.",Evaluación semestral de los avances del Programa,10%,10%,100%,,1.17,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Talleres de habilidades y saberes para personas mayores,"Implementar un programa de talleres de habilidades y saberes dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023, se realizaron 66 talleres de habilidades y saberes dirigos a personas mayores de la comuna en los Centros Comunitarios Zona Norte y Zona Sur, donde participaron más de 600 vecinos/as (manualidades, arpillería, yoga, cosmética natural, mente activa, danza, tai chi, gimnasia, salud integral, tejido, jardinería, folklore, bordado, entre otros).",Elaboración de un programa de talleres de habilidades y saberes dirigido a adultos mayores de la comuna,20%,20%,20%,1,1.18,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Talleres de habilidades y saberes para personas mayores,"Implementar un programa de talleres de habilidades y saberes dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023, se realizaron 66 talleres de habilidades y saberes dirigos a personas mayores de la comuna en los Centros Comunitarios Zona Norte y Zona Sur, donde participaron más de 600 vecinos/as (manualidades, arpillería, yoga, cosmética natural, mente activa, danza, tai chi, gimnasia, salud integral, tejido, jardinería, folklore, bordado, entre otros).",Convocatoria y selección de personal y talleristas,20%,20%,40%,,1.19,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Talleres de habilidades y saberes para personas mayores,"Implementar un programa de talleres de habilidades y saberes dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023, se realizaron 66 talleres de habilidades y saberes dirigos a personas mayores de la comuna en los Centros Comunitarios Zona Norte y Zona Sur, donde participaron más de 600 vecinos/as (manualidades, arpillería, yoga, cosmética natural, mente activa, danza, tai chi, gimnasia, salud integral, tejido, jardinería, folklore, bordado, entre otros).",Proceso de difusión e inscripción para los talleres de habilidades y saberes,20%,20%,60%,,1.20,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Talleres de habilidades y saberes para personas mayores,"Implementar un programa de talleres de habilidades y saberes dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023, se realizaron 66 talleres de habilidades y saberes dirigos a personas mayores de la comuna en los Centros Comunitarios Zona Norte y Zona Sur, donde participaron más de 600 vecinos/as (manualidades, arpillería, yoga, cosmética natural, mente activa, danza, tai chi, gimnasia, salud integral, tejido, jardinería, folklore, bordado, entre otros).",Ejecución de talleres en forma presencial en Centros Comunitarios Zona Norte y Zona Sur,30%,30%,90%,,1.21,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Talleres de habilidades y saberes para personas mayores,"Implementar un programa de talleres de habilidades y saberes dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023, se realizaron 66 talleres de habilidades y saberes dirigos a personas mayores de la comuna en los Centros Comunitarios Zona Norte y Zona Sur, donde participaron más de 600 vecinos/as (manualidades, arpillería, yoga, cosmética natural, mente activa, danza, tai chi, gimnasia, salud integral, tejido, jardinería, folklore, bordado, entre otros).","Evaluación mensual de los talleres realizados, participantes y percepción de la pertinencia e impacto de los talleres",10%,10%,100%,,1.22,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Alfabetización digital para personas mayores,"Realizar talleres de alfabetización digital dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023 se realizaron 17 ciclos de talleres en alfabetización digital a más de 100 personas mayores de la comuna, en los Centros Comunitarios Zona Norte, Zona Sur, Proyecto Telecentro y Programa Quiero mi Barrio.",Elaboración de curso de Alfabetización digital dirigido a adultos mayores de la comuna,20%,20%,20%,1,1.23,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Alfabetización digital para personas mayores,"Realizar talleres de alfabetización digital dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023 se realizaron 17 ciclos de talleres en alfabetización digital a más de 100 personas mayores de la comuna, en los Centros Comunitarios Zona Norte, Zona Sur, Proyecto Telecentro y Programa Quiero mi Barrio.",Convocatoria y selección de talleristas,20%,20%,40%,,1.24,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Alfabetización digital para personas mayores,"Realizar talleres de alfabetización digital dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023 se realizaron 17 ciclos de talleres en alfabetización digital a más de 100 personas mayores de la comuna, en los Centros Comunitarios Zona Norte, Zona Sur, Proyecto Telecentro y Programa Quiero mi Barrio.",Proceso de difusión e inscripción para los talleres de Alfabetización digital,20%,20%,60%,,1.25,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Alfabetización digital para personas mayores,"Realizar talleres de alfabetización digital dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023 se realizaron 17 ciclos de talleres en alfabetización digital a más de 100 personas mayores de la comuna, en los Centros Comunitarios Zona Norte, Zona Sur, Proyecto Telecentro y Programa Quiero mi Barrio.",Ejecución de talleres en forma presencial en Centros Comunitarios Zona Norte y Zona Sur,30%,30%,90%,,1.26,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Alfabetización digital para personas mayores,"Realizar talleres de alfabetización digital dirigido a personas mayores de la comuna, promoviendo su integración y participación comunitaria, mejorando su calidad de vida. ",100%,"Durante 2023 se realizaron 17 ciclos de talleres en alfabetización digital a más de 100 personas mayores de la comuna, en los Centros Comunitarios Zona Norte, Zona Sur, Proyecto Telecentro y Programa Quiero mi Barrio.",Evaluación mensual de los talleres realizados,10%,10%,100%,,1.27,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Mejorar el acceso a la atención de salud a personas mayores,"Implementar el derecho a la atención preferente de las personas mayores en los centros de salud de la comuna, mejorando el acceso a la atención de salud.",100%,"En todos los centros de salud de la comuna se implementa el derecho a la atención preferente de las personas mayores de 60 años, personas con discapacidad y los cuidadores/as. Se han realizado 233.631 atenciones a personas mayores de 60 años. ","Difusión y capacitación a los centros de salud y sus funcionarios de la Ley N° 21.168/2019 y de la Ley N° 21.380/2021 que crean el derecho a la atención preferente de las personas mayores de 60 años, las personas con discapacidad, y los cuidadores/as.",20%,20%,20%,1,1.28,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Mejorar el acceso a la atención de salud a personas mayores,"Implementar el derecho a la atención preferente de las personas mayores en los centros de salud de la comuna, mejorando el acceso a la atención de salud.",100%,"En todos los centros de salud de la comuna se implementa el derecho a la atención preferente de las personas mayores de 60 años, personas con discapacidad y los cuidadores/as. Se han realizado 233.631 atenciones a personas mayores de 60 años. ",Implementación de la Ley de Atención Preferente en centros de salud mediante resolución N°70/2022 que aprueba el reglamento de dicha ley.,10%,10%,30%,,1.29,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Mejorar el acceso a la atención de salud a personas mayores,"Implementar el derecho a la atención preferente de las personas mayores en los centros de salud de la comuna, mejorando el acceso a la atención de salud.",100%,"En todos los centros de salud de la comuna se implementa el derecho a la atención preferente de las personas mayores de 60 años, personas con discapacidad y los cuidadores/as. Se han realizado 233.631 atenciones a personas mayores de 60 años. ","Definición de planes de mejora por centro de salud, incluido en el Plan de Salud 2022-2024",30%,30%,60%,,1.30,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Mejorar el acceso a la atención de salud a personas mayores,"Implementar el derecho a la atención preferente de las personas mayores en los centros de salud de la comuna, mejorando el acceso a la atención de salud.",100%,"En todos los centros de salud de la comuna se implementa el derecho a la atención preferente de las personas mayores de 60 años, personas con discapacidad y los cuidadores/as. Se han realizado 233.631 atenciones a personas mayores de 60 años. ",Informe de medidas de accesibilidad adoptadas por los centros de salud para la atención de personas con discapacidad  auditiva,30%,30%,90%,,1.31,1,Si,,
90%,1. Apoyo al Adulto Mayor,98%,Mejorar el acceso a la atención de salud a personas mayores,"Implementar el derecho a la atención preferente de las personas mayores en los centros de salud de la comuna, mejorando el acceso a la atención de salud.",100%,"En todos los centros de salud de la comuna se implementa el derecho a la atención preferente de las personas mayores de 60 años, personas con discapacidad y los cuidadores/as. Se han realizado 233.631 atenciones a personas mayores de 60 años. ",Evaluación de la iniciativa,10%,10%,100%,,1.32,1,Si,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Diagnóstico de escuela comunitaria y de principales necesidades,10%,10%,10%,1,2.1,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Actualización del programa curricular de acuerdo al curriculum educativo del Ministerio de Educación,10%,10%,20%,,2.2,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Actualización del programa de acuerdo a necesidades socio territoriales levantandas ,10%,10%,30%,,2.3,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Mantención de la infraestructura y el equipamiento,10%,10%,40%,,2.4,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Compra de equipamiento y materiales necesarios,10%,10%,50%,,2.5,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Contratación de personal docente,10%,10%,60%,,2.6,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Difusión de la Escuela de Segunda Oportunidad y contacto con organizaciones comunitarias,10%,10%,70%,,2.7,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Puesta en marcha del año escolar,20%,20%,90%,,2.8,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,"Fortalecer la Escuela Comunitaria Segunda Oportunidad para niños, niñas y adolescentes. ","Implementar un programa de apoyo y finalización de estudios dirigido a niños, niñas, adolescentes y adultos que se encuentran fuera del sistema formal de educación o en situación de regazo en sus estudios.",100%,"Actualmente la Escuela de Segunda Oportunidad cuenta con 121 matrículas, e incluye clases presenciales, visitas domiciliarias, atención a apoderados, salidas pedagógica, entre otros. Las materias abordadas son: Matemáticas, Lenguaje, Historia, Ciencias Naturales e Inglés. ",Evaluación de la iniciativa,10%,10%,100%,,2.9,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Aprobación presupuestaria en Concejo Municipal del programa de becas para ayuda estudiantil,10%,10%,10%,1,2.10,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Creación de criterios de selección de beneficiarios,5%,5%,15%,,2.11,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Publicación de bases y requisitos de postulación,5%,5%,20%,,2.12,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Postulación y selección de beneficiarios (3 ciclos por semestre),20%,20%,40%,,2.13,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Entrega de beneficiarios (3 ciclos por semestre),20%,20%,60%,,2.14,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Rendición de beneficiarios (3 ciclos por semestre),20%,20%,80%,,2.15,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Actualización y publicación de bases y requisitos de postulación 2023,10%,10%,90%,,2.16,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Beca de ayuda estudiantil,"Implementar un programa de becas de ayuda a estudiantes de la educación superior de la comuna, apoyando su formación.",100%,"Se entregaron 200 becas a estudiantes de la comuna durante 2023, y 250 becas durante 2024. Además se entregaron 53 becas de la Corporación Innova.",Evaluación de la iniciativa,10%,10%,100%,,2.17,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ","Elaboración de plan para implementar el programa de prevención, de acuerdo a diagnóstico territorial y a lineamientos del Servicio Nacional para la Prevención y Rehabilitación de Drogas y Alcohol (SENDA)",5%,5%,5%,1,2.18,2,revisar,,
90%,"2. Apoyo a niños, niñas y jóvenes",97%,Programa de prevención de drogas y alcoholismo dirigido a niños y adolescentes de la comuna.,"Implementar un programa de prevención de drogas y alcoholismo dirigido a niños, niñas y jóvenes de los 7 territorios de la comuna, a través del trabajo con establecimientos educacionales y con otras comunidades a través de la oferta programática de SENDA",100%,"Durante 2023, se atendieron 731 casos por la Oficina de Protección de Derechos y el Programa de Prevención del Consumo de Drogas. Además 5.091 niños, niñas y jóvenes participaron de talleres preventivos asociados a salud mental, artes, autocuidado y deportes. ",Vinculación comunitaria e identificación de actores claves.,5%,5%,10%,,2.19,2,revisar,,
